Record_ID,State,District,Year,Season,Crop_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Cultivated_Area_hectares,Yield_ton_per_hectare,Market_Price_per_ton,Farmer_Profit_INR
1,Uttarakhand,Dehradun,2014,Kharif,Rice,445.02,23.5,47.3,Black,Sprinkler,344.59,42.22,4471.68,1.83,34361.86,67904.0
2,Uttarakhand,Dehradun,2014,Rabi,Wheat,1410.24,32.3,73.6,Red,Rain-fed,217.81,29.71,1463.13,7.55,52216.79,106009.99999999999
3,Uttarakhand,Dehradun,2014,Kharif,Maize,787.56,33.3,40.6,Laterite,Canal,201.97,24.74,1785.38,3.13,14302.87,70380.0
4,Uttarakhand,Dehradun,2014,Kharif,Cotton,1892.93,30.4,82.4,Alluvial,Tube Well,280.94,43.75,324.54,2.86,27337.56,8166.0
5,Uttarakhand,Dehradun,2014,Zaid,Cotton,1216.14,34.7,43.9,Black,Drip,192.11,41.86,3538.92,6.19,15784.33,314345.0
6,Uttarakhand,Dehradun,2014,Rabi,Millets,1083.02,37.8,70.2,Laterite,Rain-fed,272.78,42.65,4229.97,6.86,24139.55,241455.00000000003
7,Uttarakhand,Dehradun,2014,Kharif,Rice,779.77,36.9,83.2,Sandy,Sprinkler,175.87,41.05,2038.6,7.88,36319.15,171064.0
8,Uttarakhand,Dehradun,2014,Kharif,Cotton,1744.62,26.6,67.1,Black,Tube Well,194.8,59.85,777.83,4.8,52056.45,62019.00000000001
9,Uttarakhand,Dehradun,2014,Rabi,Rice,1092.58,29.9,60.7,Red,Canal,150.57,35.43,4717.91,6.17,18071.24,490434.0
10,Uttarakhand,Dehradun,2014,Rabi,Cotton,1182.58,27.1,87.5,Sandy,Sprinkler,400.34,19.49,2552.87,2.5,60369.28,106615.00000000001
11,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,675.11,33.3,64.7,Black,Canal,361.45,34.17,102.8,3.57,13032.27,6346.0
12,Uttarakhand,Dehradun,2014,Zaid,Sugarcane,1980.42,36.9,39.7,Black,Rain-fed,244.4,8.81,3826.95,6.79,18804.75,331382.0
13,Uttarakhand,Dehradun,2014,Rabi,Barley,2135.85,36.6,76.5,Alluvial,Drip,325.95,44.21,2055.06,6.1,31791.29,213061.0
14,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,515.25,18.4,65.5,Alluvial,Sprinkler,285.38,5.4,3568.42,1.63,15572.22,48359.0
15,Uttarakhand,Dehradun,2014,Kharif,Sugarcane,901.26,27.7,64.7,Alluvial,Tube Well,339.34,53.53,2923.44,2.97,37067.57,104804.0
16,Uttarakhand,Dehradun,2014,Kharif,Pulses,1162.44,27.3,75.1,Black,Drip,319.35,59.13,582.25,4.14,29983.04,40055.0
17,Uttarakhand,Dehradun,2014,Zaid,Millets,652.33,21.7,60.4,Alluvial,Canal,399.79,9.15,4059.31,7.45,17189.16,439156.00000000006
18,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,699.36,27.7,46.8,Red,Tube Well,210.42,8.22,1956.97,8.39,26055.76,260088.0
19,Uttarakhand,Haridwar,2014,Zaid,Millets,678.63,23.9,88.3,Black,Canal,281.67,34.82,3765.08,1.62,42961.41,79466.0
20,Uttarakhand,Haridwar,2014,Kharif,Rice,1932.42,19.4,38.7,Laterite,Sprinkler,394.73,27.21,4713.82,5.36,42682.71,212169.99999999997
21,Uttarakhand,Haridwar,2014,Kharif,Pulses,2082.47,22.1,74.4,Alluvial,Tube Well,145.47,26.77,3391.28,3.39,28757.39,178409.0
22,Uttarakhand,Haridwar,2014,Zaid,Rice,531.87,22.3,49.6,Red,Sprinkler,423.3,53.45,4408.42,3.9,20360.58,280887.0
23,Uttarakhand,Haridwar,2014,Rabi,Wheat,1602.15,29.1,86.2,Sandy,Drip,91.43,53.3,1395.88,7.69,51348.08,102560.99999999999
24,Uttarakhand,Haridwar,2014,Kharif,Pulses,766.48,30.7,49.5,Red,Drip,245.41,54.79,4245.91,1.87,34449.52,85487.0
25,Uttarakhand,Haridwar,2014,Rabi,Cotton,690.85,26.8,73.8,Sandy,Sprinkler,274.36,11.15,4730.75,6.24,19899.88,246794.99999999997
26,Uttarakhand,Haridwar,2014,Rabi,Maize,1173.62,18.8,55.1,Sandy,Tube Well,423.24,58.47,295.48,3.81,48149.53,16514.0
27,Uttarakhand,Haridwar,2014,Rabi,Maize,2066.37,22.7,43.9,Black,Rain-fed,369.95,14.74,2120.24,2.51,60997.83,84211.0
28,Uttarakhand,Haridwar,2014,Kharif,Maize,1817.27,20.2,83.0,Black,Canal,393.44,17.23,4101.27,4.56,28175.12,298358.0
29,Uttarakhand,Haridwar,2014,Kharif,Sugarcane,1117.24,23.6,38.8,Alluvial,Rain-fed,359.33,24.31,2596.09,6.16,56714.04,180893.0
30,Uttarakhand,Haridwar,2014,Zaid,Maize,1445.06,37.7,37.1,Black,Rain-fed,288.63,24.01,3953.5,4.39,64164.5,158918.0
31,Uttarakhand,Haridwar,2014,Zaid,Wheat,1675.81,18.0,85.9,Red,Sprinkler,265.38,44.57,3735.56,6.1,31303.74,198240.0
32,Uttarakhand,Haridwar,2014,Zaid,Pulses,1594.1,20.5,84.5,Laterite,Drip,252.85,41.68,1698.3,6.29,41383.86,105951.0
33,Uttarakhand,Haridwar,2014,Zaid,Cotton,1130.94,34.7,51.7,Laterite,Drip,134.07,48.22,3072.64,3.55,35414.66,160960.0
34,Uttarakhand,Haridwar,2014,Kharif,Rice,910.82,31.3,69.1,Black,Tube Well,87.35,57.36,1250.86,3.47,54747.83,41120.0
35,Uttarakhand,Haridwar,2014,Kharif,Rice,1219.75,35.7,66.7,Laterite,Drip,337.34,26.12,2058.3,2.28,48443.99,79435.0
36,Uttarakhand,Haridwar,2014,Zaid,Maize,1847.4,31.9,60.6,Sandy,Rain-fed,272.96,55.46,694.66,2.17,36626.09,20066.0
37,Uttarakhand,Nainital,2014,Kharif,Millets,1502.77,32.4,62.8,Red,Sprinkler,382.23,35.13,4496.32,6.63,37157.75,315751.0
38,Uttarakhand,Nainital,2014,Zaid,Millets,1528.15,23.5,39.3,Black,Drip,164.29,19.94,1666.58,5.14,19333.83,88340.0
39,Uttarakhand,Nainital,2014,Zaid,Rice,1146.76,24.6,60.6,Laterite,Tube Well,74.91,50.81,2008.44,6.82,62141.29,112256.0
