State,District,Year,Crime_Type,Cases_Reported,Chargesheeted,Convictions,Population,Crime_Rate_per_100k
Uttar Pradesh,Lucknow,2014,Murder,580,519,329,6843158,8.48
Uttar Pradesh,Lucknow,2014,Rape,682,553,213,6843158,9.97
Uttar Pradesh,Lucknow,2014,Kidnapping,206,163,92,6843158,3.01
Uttar Pradesh,Lucknow,2014,Theft,555,432,289,6843158,8.11
Uttar Pradesh,Lucknow,2014,Robbery,1068,718,309,6843158,15.61
Uttar Pradesh,Lucknow,2014,Assault,95,81,54,6843158,1.39
Uttar Pradesh,Lucknow,2014,Burglary,332,217,130,6843158,4.85
Uttar Pradesh,Lucknow,2014,Cybercrime,582,434,263,6843158,8.5
Uttar Pradesh,Lucknow,2014,Dowry Deaths,386,319,215,6843158,5.64
Uttar Pradesh,Lucknow,2014,Fraud,523,424,219,6843158,7.64
Uttar Pradesh,Lucknow,2015,Murder,965,794,579,6843158,14.1
Uttar Pradesh,Lucknow,2015,Rape,900,848,506,6843158,13.15
Uttar Pradesh,Lucknow,2015,Kidnapping,1036,786,392,6843158,15.14
Uttar Pradesh,Lucknow,2015,Theft,649,443,187,6843158,9.48
Uttar Pradesh,Lucknow,2015,Robbery,984,643,433,6843158,14.38
Uttar Pradesh,Lucknow,2015,Assault,441,324,186,6843158,6.44
Uttar Pradesh,Lucknow,2015,Burglary,191,127,65,6843158,2.79
Uttar Pradesh,Lucknow,2015,Cybercrime,1045,727,320,6843158,15.27
Uttar Pradesh,Lucknow,2015,Dowry Deaths,713,527,244,6843158,10.42
Uttar Pradesh,Lucknow,2015,Fraud,661,456,163,6843158,9.66
Uttar Pradesh,Lucknow,2016,Murder,190,171,124,6843158,2.78
Uttar Pradesh,Lucknow,2016,Rape,727,663,419,6843158,10.62
Uttar Pradesh,Lucknow,2016,Kidnapping,980,738,344,6843158,14.32
Uttar Pradesh,Lucknow,2016,Theft,81,62,27,6843158,1.18
Uttar Pradesh,Lucknow,2016,Robbery,303,210,141,6843158,4.43
Uttar Pradesh,Lucknow,2016,Assault,851,742,268,6843158,12.44
Uttar Pradesh,Lucknow,2016,Burglary,180,137,55,6843158,2.63
Uttar Pradesh,Lucknow,2016,Cybercrime,920,862,390,6843158,13.44
Uttar Pradesh,Lucknow,2016,Dowry Deaths,383,359,171,6843158,5.6
Uttar Pradesh,Lucknow,2016,Fraud,405,359,264,6843158,5.92
Uttar Pradesh,Lucknow,2017,Murder,837,764,547,6843158,12.23
Uttar Pradesh,Lucknow,2017,Rape,178,150,96,6843158,2.6
Uttar Pradesh,Lucknow,2017,Kidnapping,1037,942,447,6843158,15.15
Uttar Pradesh,Lucknow,2017,Theft,975,831,603,6843158,14.25
Uttar Pradesh,Lucknow,2017,Robbery,135,115,76,6843158,1.97
Uttar Pradesh,Lucknow,2017,Assault,1009,937,390,6843158,14.74
Uttar Pradesh,Lucknow,2017,Burglary,605,427,300,6843158,8.84
Uttar Pradesh,Lucknow,2017,Cybercrime,1025,685,401,6843158,14.98
Uttar Pradesh,Lucknow,2017,Dowry Deaths,82,62,36,6843158,1.2
Uttar Pradesh,Lucknow,2017,Fraud,997,800,419,6843158,14.57
Uttar Pradesh,Lucknow,2018,Murder,108,72,46,6843158,1.58
Uttar Pradesh,Lucknow,2018,Rape,41,38,15,6843158,0.6
Uttar Pradesh,Lucknow,2018,Kidnapping,117,94,50,6843158,1.71
Uttar Pradesh,Lucknow,2018,Theft,1112,976,483,6843158,16.25
Uttar Pradesh,Lucknow,2018,Robbery,401,346,175,6843158,5.86
Uttar Pradesh,Lucknow,2018,Assault,48,32,19,6843158,0.7
Uttar Pradesh,Lucknow,2018,Burglary,58,42,26,6843158,0.85
Uttar Pradesh,Lucknow,2018,Cybercrime,487,433,231,6843158,7.12
Uttar Pradesh,Lucknow,2018,Dowry Deaths,578,527,232,6843158,8.45
Uttar Pradesh,Lucknow,2018,Fraud,372,293,139,6843158,5.44
Uttar Pradesh,Lucknow,2019,Murder,1079,949,663,6843158,15.77
Uttar Pradesh,Lucknow,2019,Rape,1059,726,370,6843158,15.48
Uttar Pradesh,Lucknow,2019,Kidnapping,552,391,286,6843158,8.07
Uttar Pradesh,Lucknow,2019,Theft,1096,953,535,6843158,16.02
