student_id,age,gender,city,state,university,course,branch,year_of_study,attendance_percentage,cgpa,study_hours_per_day,revision_frequency,online_courses,group_study,sleep_hours,screen_time_hours,physical_activity,part_time_job,exam_stress_level,motivation_level,parental_support,performance_category
1,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,3,76.6,10.0,4.5,Daily,Yes,Yes,8.5,5.5,Low,No,5,9,Low,Excellent
2,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,1,83.4,8.9,2.8,Weekly,No,Yes,6.5,6.5,Low,No,2,3,High,Excellent
3,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,4,81.1,8.2,2.1,Daily,No,Yes,5.6,8.9,Low,Yes,5,6,High,Good
4,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,79.1,9.1,1.8,Rare,No,Yes,7.4,4.8,High,No,5,5,Medium,Excellent
5,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,1,67.4,9.7,4.7,Daily,No,Yes,5.8,6.4,High,No,2,3,Medium,Excellent
6,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,79.7,10.0,3.3,Daily,No,Yes,6.7,3.0,Low,No,4,5,Medium,Excellent
7,20,Other,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,3,60.4,9.7,4.0,Weekly,Yes,No,6.6,4.6,High,No,7,8,Low,Excellent
8,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,4,74.9,9.1,4.0,Daily,No,Yes,8.0,5.0,Medium,No,5,4,High,Excellent
9,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,91.6,10.0,3.4,Weekly,No,No,8.0,6.7,Medium,No,4,7,Low,Excellent
10,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,1,93.6,7.3,0.5,Rare,Yes,Yes,7.8,6.2,Medium,No,5,6,Low,Average
11,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,3,81.6,10.0,5.7,Rare,Yes,Yes,6.5,4.4,Medium,No,4,8,Medium,Excellent
12,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,3,83.1,8.6,3.6,Weekly,No,Yes,8.0,4.6,Low,No,5,5,Medium,Excellent
13,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,2,80.6,9.4,3.5,Daily,Yes,No,6.8,3.2,Low,No,5,5,Medium,Excellent
14,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,2,82.0,9.4,6.3,Rare,Yes,Yes,7.2,6.5,High,No,5,2,High,Excellent
15,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,100.0,10.0,3.2,Rare,Yes,No,7.3,5.9,Medium,No,3,8,High,Excellent
16,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,3,68.9,7.6,5.6,Weekly,No,No,5.6,7.2,Medium,No,10,4,Low,Good
